...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1535.578762605676
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,672.9122035287212
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,777.6985816366555
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,843.8643588241762
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,544.4126170884858
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,144.78971511709796
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,676.2708423890186
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,833.2662206969829
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,272.81228859796994
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,180.922202875938
61,pSRO9-mTurq-tTOS6,pSRO9,mTurq,tTOS6,287.1208001470831
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,75.96906616885786
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,125.26298824468142
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,166.9947495380429
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,74.20789047532561
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,-6.531981861334382
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,79.31445273314911
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,147.91125667356312
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,75.01275211755784
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,31.562382033279505
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,75.85853989864748
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,5053.475526555016
