...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,765.7112036239735,0.19315227807958557,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3517.613069956913,0.8873253710394451,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,4850.748680726054,1.2236116614716428,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2372.18257184733,0.5983880941070986,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1053.9606142345338,0.26586380437177376,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1535.578762605676,0.387353005629486,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4929.186376677201,1.2433977369379203,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4508.67480055955,1.137322798368981,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5805.093496765304,1.4643471690873144,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4270.437744845502,1.0772269948645319,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,666.2262107147249,0.16805697723481788,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3671.777675925876,0.9262137204605017,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5177.082902723264,1.305930162357839,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2344.708833553424,0.5914577852468977,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1262.3472231936566,0.3184297692567548,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1679.6424058806615,0.42369336574869504,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,5109.826975448085,1.2889647117988379,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4608.330413883148,1.1624611385757988,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,8845.574856955789,2.2313150525397676,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3949.741412428322,0.9963306636041558,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,794.3035014208082,0.20036474595108955,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3843.947890374053,0.96964402287834,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5239.113785093853,1.3215775842376027,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2537.666912428638,0.6401318706360293,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1178.986177353111,0.2974017683198569,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1546.4867592874102,0.39010457096951223,FALSE
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4637.937518940849,1.205881883701765,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4187.097838418904,1.0886618045232386,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5931.469625349881,1.5422052875283552,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3583.610493637775,0.9317527359679049,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,919.785650423291,0.23914786436958838,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3918.9695353233537,1.0189473976580814,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4338.571462540564,1.1280455388752,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2459.4988440562274,0.6394793131473971,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1027.9518696402447,0.2672715041662766,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,2043.8658586815247,0.5314131123231366,FALSE
