X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
4,pCLN2-mCherry-tPAB1_biorep3,pCLN2-mCherry-tPAB1,pCLN2,mCherry,tPAB1,biorep3,83.58525685695267
5,pCLN2-mCherry-tPGK1_biorep3,pCLN2-mCherry-tPGK1,pCLN2,mCherry,tPGK1,biorep3,81.94490866231945
6,pCLN2-mCherry-tPMA1_biorep3,pCLN2-mCherry-tPMA1,pCLN2,mCherry,tPMA1,biorep3,-4.492861196056987
7,pCLN2-mCherry-tRPS13_biorep3,pCLN2-mCherry-tRPS13,pCLN2,mCherry,tRPS13,biorep3,40.318879343197445
8,pCLN2-mCherry-tRPS3_biorep3,pCLN2-mCherry-tRPS3,pCLN2,mCherry,tRPS3,biorep3,98.26289875811608
9,pCLN2-mCherry-tSRO9_biorep3,pCLN2-mCherry-tSRO9,pCLN2,mCherry,tSRO9,biorep3,60.59525744222193
10,pCLN2-mCherry-tSUN4_biorep3,pCLN2-mCherry-tSUN4,pCLN2,mCherry,tSUN4,biorep3,18.340092955554283
11,pCLN2-mCherry-tTOS6_biorep3,pCLN2-mCherry-tTOS6,pCLN2,mCherry,tTOS6,biorep3,41.81912498578728
12,pHSP26-mCherry-tCLN2_biorep3,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep3,9435.19541445811
13,pHSP26-mCherry-tHSP26_biorep3,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep3,12165.380909194631
14,pHSP26-mCherry-tPAB1_biorep3,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep3,12409.217598077412
15,pHSP26-mCherry-tPGK1_biorep3,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep3,11457.854738404036
16,pHSP26-mCherry-tPMA1_biorep3,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep3,4117.490089211608
17,pHSP26-mCherry-tRPS13_biorep3,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep3,11188.086564424935
