X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
43,pRPS3-mCherry-tPAB1_biorep1,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep1,3904.164286271328,1.2429817265408434,FALSE
44,pRPS3-mCherry-tPGK1_biorep1,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep1,3390.693749145857,1.0795064094266607,FALSE
45,pRPS3-mCherry-tPMA1_biorep1,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep1,752.7257816393086,0.23964780246668402,FALSE
46,pRPS3-mCherry-tRPS13_biorep1,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep1,4706.621473151288,1.4984626813589015,FALSE
47,pRPS3-mCherry-tRPS3_biorep1,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep1,5826.810099717771,1.855100847943538,FALSE
48,pRPS3-mCherry-tSRO9_biorep1,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep1,1238.265854768659,0.3942308051659574,FALSE
49,pRPS3-mCherry-tSUN4_biorep1,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep1,1185.294854874374,0.37736625232510457,FALSE
50,pRPS3-mCherry-tTOS6_biorep1,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep1,1516.2725969342769,0.4827407332912001,FALSE
41,pRPS3-mCherry-tCLN2_biorep2,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep2,4745.102342437243,1.510713963281653,FALSE
42,pRPS3-mCherry-tHSP26_biorep2,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep2,2318.252544620445,0.7380697478850318,FALSE
43,pRPS3-mCherry-tPAB1_biorep2,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep2,6363.304614973233,2.025906385301907,FALSE
